review_id,order_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp,classe,texto_limpo,texto_processado
e64fb393e7b32834bb789ff8bb30750e,658677c97b385a9be170737859d3511b,5,,Recebi bem antes do prazo estipulado.,2017-04-21 00:00:00,2017-04-21 22:02:06,positiva,recebi bem antes do prazo estipulado,recebi bem antes prazo estipulado
f7c4243c7fe1938f181bec41a392bdeb,8e6bfb81e283fa7e4f11123a3fb894f1,5,,Parabéns lojas lannister adorei comprar pela Internet seguro e prático Parabéns a todos feliz Páscoa,2018-03-01 00:00:00,2018-03-02 10:26:53,positiva,parabéns lojas lannister adorei comprar pela internet seguro e prático parabéns a todos feliz páscoa,parabéns lojas lannister adorei comprar internet seguro prático parabéns todos feliz páscoa
8670d52e15e00043ae7de4c01cc2fe06,b9bf720beb4ab3728760088589c62129,4,recomendo,aparelho eficiente. no site a marca do aparelho esta impresso como 3desinfector e ao chegar esta com outro nome...atualizar com a marca correta uma vez que é o mesmo aparelho,2018-05-22 00:00:00,2018-05-23 16:45:47,positiva,aparelho eficiente no site a marca do aparelho esta impresso como 3desinfector e ao chegar esta com outro nome atualizar com a marca correta uma vez que é o mesmo aparelho,aparelho eficiente site marca aparelho impresso 3desinfector chegar outro nome atualizar marca correta vez aparelho
4b49719c8a200003f700d3d986ea1a19,9d6f15f95d01e79bd1349cc208361f09,4,,"Mas um pouco ,travando...pelo valor ta Boa.
",2018-02-16 00:00:00,2018-02-20 10:52:22,positiva,mas um pouco travando pelo valor ta boa,pouco travando valor ta boa
3948b09f7c818e2d86c9a546758b2335,e51478e7e277a83743b6f9991dbfa3fb,5,Super recomendo,"Vendedor confiável, produto ok e entrega antes do prazo.",2018-05-23 00:00:00,2018-05-24 03:00:01,positiva,vendedor confiável produto ok e entrega antes do prazo,vendedor confiável produto ok entrega antes prazo
9314d6f9799f5bfba510cc7bcd468c01,0dacf04c5ad59fd5a0cc1faa07c34e39,2,,"GOSTARIA DE SABER O QUE HOUVE, SEMPRE RECEBI E ESSA COMPRA AGORA ME DECPCIONOU",2018-01-18 00:00:00,2018-01-20 21:25:45,negativa,gostaria de saber o que houve sempre recebi e essa compra agora me decpcionou,gostaria saber sempre recebi compra agora decpcionou
373cbeecea8286a2b66c97b1b157ec46,583174fbe37d3d5f0d6661be3aad1786,1,Não chegou meu produto ,Péssimo,2018-08-15 00:00:00,2018-08-15 04:10:37,negativa,péssimo,péssimo
d21bbc789670eab777d27372ab9094cc,4fc44d78867142c627497b60a7e0228a,5,Ótimo,Loja nota 10,2018-07-10 00:00:00,2018-07-11 14:10:25,positiva,loja nota 10,loja nota 10
0e0190b9db53b689b285d3f3916f8441,79832b7cb59ac6f887088ffd686e1d5e,5,,obrigado pela atençao amim dispensada,2017-12-01 00:00:00,2017-12-09 22:58:58,positiva,obrigado pela atençao amim dispensada,obrigado atençao amim dispensada
fe3db7c069d694bab50cc43463f91608,2ca73e2ff9e3a186ad1e1ffb9b1d9c10,5,,"A compra foi realizada facilmente.
A entrega foi efetuada muito antes do prazo dado.
O produto já começou a ser usado e até o presente,
sem problemas.",2018-03-23 00:00:00,2018-04-01 00:27:51,positiva,a compra foi realizada facilmente a entrega foi efetuada muito antes do prazo dado o produto já começou a ser usado e até o presente sem problemas,compra realizada facilmente entrega efetuada antes prazo dado produto começou usado presente problemas
e07eee7ad7666276bd8b27fbd83fd1ff,68b3cbc68e4cd1fe19bec35f1d3bb7ee,5,,relógio muito bonito e barato.,2018-03-29 00:00:00,2018-04-02 14:19:31,positiva,relógio muito bonito e barato,relógio bonito barato
2c5e27fc178bde7ac173c9c62c31b070,0ce9a24111d850192a933fcaab6fbad3,1,,Não gostei ! Comprei gato por lebre,2017-12-13 00:00:00,2017-12-16 07:14:07,negativa,não gostei comprei gato por lebre,não gostei comprei gato lebre
58044bca115705a48fe0e00a21390c54,68e55ca79d04a79f20d4bfc0146f4b66,1,,"Sempre compro pela Internet e a entrega ocorre antes do prazo combinado, que acredito ser o prazo máximo. No stark o prazo máximo já se esgotou e ainda não recebi o produto.",2018-04-08 00:00:00,2018-04-09 12:22:39,negativa,sempre compro pela internet e a entrega ocorre antes do prazo combinado que acredito ser o prazo máximo no stark o prazo máximo já se esgotou e ainda não recebi o produto,sempre compro internet entrega ocorre antes prazo combinado acredito prazo máximo stark prazo máximo esgotou ainda não recebi produto
c92cdd7dd544a01aa35137f901669cdf,37e7875cdce5a9e5b3a692971f370151,4,Muito bom.,"Recebi exatamente o que esperava. As demais encomendas de outros vendedores atrasaram, mas esta chegou no prazo.",2018-06-07 00:00:00,2018-06-09 18:44:02,positiva,recebi exatamente o que esperava as demais encomendas de outros vendedores atrasaram mas esta chegou no prazo,recebi exatamente esperava demais encomendas outros vendedores atrasaram chegou prazo
08c9d79ec0eba1d252e3f52f14b8e6a9,e029f708df3cc108b3264558771605c6,5,Bom,"Recomendo ,",2018-06-13 00:00:00,2018-06-13 22:54:44,positiva,recomendo,recomendo
2170c9452c2216457b36003fe2969fbb,af32671d0b8ce510a94d9111d97371d3,5,,muito boa ,2018-03-22 00:00:00,2018-03-30 23:37:25,positiva,muito boa,boa
b193ff3c9f32a01f3a0d9ae26b94d244,e2e6ee1ed2d7f2f36b05d234983bd7a0,5,Maravilhoso!,"Tô completamente apaixonada, loja super responsável e confiável!",2018-08-10 00:00:00,2018-08-11 00:22:13,positiva,tô completamente apaixonada loja super responsável e confiável,tô completamente apaixonada loja super responsável confiável
9fd59cd04b42f600df9f25e54082a8d1,3c314f50bc654f3c4e317b055681dff9,1,,Nada de chegar o meu pedido.,2017-04-21 00:00:00,2017-04-23 05:37:03,negativa,nada de chegar o meu pedido,nada chegar pedido
86c5cfa7fcbde303f704b60a78ced7d6,a6456e781cb962cc3f412b04de4fed7b,5,Entrega perfeita,Muito bom. muito cheiroso.,2018-06-13 00:00:00,2018-06-14 17:29:03,positiva,muito bom muito cheiroso,bom cheiroso
890ec1767be8eb104877db6d68eaade5,b3271f5ebce80cbecb67c5b88487a44a,5,,"otimo vendedor chegou ate antes do prazo , adorei o produto",2017-05-13 00:00:00,2017-05-14 02:57:19,positiva,otimo vendedor chegou ate antes do prazo adorei o produto,otimo vendedor chegou ate antes prazo adorei produto
7d9ac3e98adc0c8ad579e6a2257d79f9,dfa48852c93427261c98fb2e01f33bea,5,,Processo de compra tranquilo e eficiente.,2018-04-24 00:00:00,2018-04-25 16:01:03,positiva,processo de compra tranquilo e eficiente,processo compra tranquilo eficiente
c41bd21983e298a240410ebb391bf075,9562b424b05978a493db2a5122ecab1f,5,,Tomara q dure pois é de pelinho.,2017-05-19 00:00:00,2017-05-21 03:04:35,positiva,tomara q dure pois é de pelinho,tomara q dure pois pelinho
